date,copper,exports,bci,pmi,copper_3m,pmi_z,exports_z,bci_z,pulse
2015-01-01,5830.535714285714,0.4980772,-0.4,49.8,,-0.2202576924936922,-0.03893202298101658,-0.22331228131393677,-0.1608339989295485
2015-02-01,5729.275,29.20206,-0.2,49.9,,-0.1603236265090143,2.6411431579382407,-0.16349649167627514,0.7724410132509837
2015-03-01,5939.670454545455,-36.21817,0.2,50.1,,-0.040455494539658535,-3.4671079504420717,-0.043864912400951854,-1.183809452460894
2015-04-01,6042.0875,11.77274,0.2,50.1,0.036283421640991076,-0.040455494539658535,1.0137770785417735,-0.043864912400951854,0.309818890533721
2015-05-01,6294.776315789474,4.160822,0.4,50.2,0.09870381781106241,0.019478571445019355,0.30305645648954205,0.01595087723670979,0.1128286350570904
2015-06-01,5833.011363636364,-1.063127,0.4,50.2,-0.01795707215161535,0.019478571445019355,-0.18470080558936264,0.01595087723670979,-0.049757118969211166
2015-07-01,5456.75,-2.236705,0.0,50.0,-0.09687670031259887,-0.10038956052433642,-0.2942771418277212,-0.1036807020386135,-0.16611580146355703
2015-08-01,5127.3,2.616053,-0.6,49.7,-0.18546748243635602,-0.2801917584783658,0.15882221951970038,-0.2831280709515984,-0.13483253663675462
2015-09-01,5217.25,1.554824,-0.4,49.8,-0.1055649175441502,-0.2202576924936922,0.059735847987601974,-0.22331228131393677,-0.12794470860667564
2015-10-01,5216.090909090909,-1.249104,-0.4,49.8,-0.04410300836745151,-0.2202576924936922,-0.20206537640152955,-0.22331228131393677,-0.21521178340305283
2015-11-01,4799.904761904762,-3.445419,-0.8,49.6,-0.06385334154335376,-0.34012582446304374,-0.40713410717643367,-0.3429438605892601,-0.36340126407624584
2015-12-01,4638.833333333333,4.838155,-0.6,49.7,-0.11086619707061518,-0.2801917584783658,0.3662986683862683,-0.2831280709515984,-0.06567372034789865
2016-01-01,4471.7875,-10.96004,-1.2,49.4,-0.14269371873747316,-0.4599939564323995,-1.108770161533136,-0.4625754398645833,-0.6771131859433729
2016-02-01,4598.619047619048,5.175859,-2.0,49.0,-0.041935355860235446,-0.6997302203711068,0.3978299062358519,-0.7018385984152299,-0.33457963751682823
2016-03-01,4953.797619047619,-3.207772,0.4,50.2,0.06789730587021592,0.019478571445019355,-0.3849451367134246,0.01595087723670979,-0.1165052293438985
2016-04-01,4872.738095238095,0.5649126,0.2,50.1,0.08966226486345663,-0.040455494539658535,-0.03269163822344172,-0.043864912400951854,-0.03900401505468404
2016-05-01,4694.5375,0.4012866,0.2,50.1,0.020858099222333948,-0.040455494539658535,-0.04796930838540595,-0.043864912400951854,-0.04409657177533879
2016-06-01,4641.965909090909,-0.4074621,0.0,50.0,-0.06294801159371155,-0.10038956052433642,-0.12348173234319602,-0.1036807020386135,-0.10918399830204865
2016-07-01,4864.904761904762,0.9514895,-0.2,49.9,-0.0016075834941730038,-0.1603236265090143,0.00340283557922185,-0.16349649167627514,-0.1068057608686892
2016-08-01,4751.670454545455,1.368854,0.8,50.4,0.012170092271167166,0.13934670341437086,0.04237193076160802,0.13558245651203307,0.10576703022933731
2016-09-01,4722.204545454545,-3.408904,0.8,50.4,0.017285485920199406,0.13934670341437086,-0.4037247215900102,0.13558245651203307,-0.04293185388786875
2016-10-01,4731.261904761905,2.711617,2.4,50.8,-0.02747080645634925,0.37908296735307817,0.16774497795269971,0.6141087736133262,0.386978906306368
2016-11-01,5450.931818181818,0.4662105,3.4,51.7,0.14716116581010974,0.9184895612151749,-0.04190739933777079,0.9131877218016343,0.5965899612263462
2016-12-01,5660.35,2.184384,2.8,51.4,0.19866683992934742,0.7386873632611413,0.11851752099290798,0.7337403528886494,0.5303150790475663
